NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
LUK CRISIS CTR-LUK BHVRL HLTH CLNC-AODA,545 WESTMINSTER ST,FITCHBURG,MA,01420,4727,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HILLCREST NURSING HOME,94 SUMMER ST,FITCHBURG,MA,01420,5761,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,78,,,
ACADEMY SCHOOL,98 ACADEMY ST,FITCHBURG,MA,01420,7531,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
HABIT MANAGEMENT INSTITUTE-SBSTNC ABUSE,155 AIRPORT RD,FITCHBURG,MA,01420,8142,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MCLEAN AT NAUKEAG REHAB,216 LAKE RD,ASHBURNHAM,MA,01430,1207,25027,WORCESTER,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
ASHBURNHAM COUNCIL ON AGING-SENIOR CTR,32 MAIN ST,ASHBURNHAM,MA,01430,1241,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ASHBURNHAM-WESTMINSTER REG SCH DIST,11 OAKMONT DR,ASHBURNHAM,MA,01430,1670,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,COMPASS,PUBLIC,>2000,,,,
SUMMER CAMP CUSHING ACADEMY,PO BOX 8000,ASHBURNHAM,MA,01430,8000,25027,WORCESTER,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
FEDERAL MEDICAL CENTER,PO BOX 880,AYER,MA,01432,0880,25017,MIDDLESEX,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
AYER PUBLIC SCHOOLS,141 WASHINGTON ST,AYER,MA,01432,1150,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,2,UNCODED,PUBLIC,1001 TO 2000,,,,
NASHOBA VALLEY MEDICAL CENTER,200 GROTON RD,AYER,MA,01432,1168,25017,MIDDLESEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,,PREMIER,,
APPLE VALLEY CENTER,400 GROTON RD,AYER,MA,01432,1171,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,101,,,
THE CENTER SENIOR CENTER,18 POND ST,AYER,MA,01432,1656,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BALDWINVILLE NURSING HOME,PO BOX 24,BALDWINVILLE,MA,01436,0024,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,94,,,
NORTH CENTRAL HUMAN SERVICES-SBSTNC ABS,PO BOX 449,GARDNER,MA,01440,0449,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTH CENTRAL CORRECTIONAL INSTITUTION,PO BOX 466,GARDNER,MA,01440,0466,25027,WORCESTER,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
HEYWOOD HOSP TRANSITIONAL CARE CENTER,242 GREEN ST,GARDNER,MA,01440,1336,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,12,,,
MOUNT WACHUSETT COMMUNITY COLLEGE,444 GREEN ST,GARDNER,MA,01440,1378,25027,WORCESTER,1122,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,
GARDNER VNA ADULT DAY HEALTH CARE,34 PEARLY LN,GARDNER,MA,01440,1736,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,
WACHUSETT MANOR NURSING HOME,32 HOSPITAL HILL RD,GARDNER,MA,01440,2302,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,92,,,
GARDNER PUBLIC SCHOOL DISTRICT,70 WATERFORD ST,GARDNER,MA,01440,2525,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
GARDNER SENIOR CENTER,294 PLEASANT ST,GARDNER,MA,01440,2929,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PATHWAY HOUSE GAAMHA-SUBSTANCE ABUSE SVC,171 GRAHAM ST,GARDNER,MA,01440,3847,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LACHANCE CENTER FOR REHAB AND NURSING,59 EASTWOOD CIR,GARDNER,MA,01440,3901,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,109,PREMIER,,
GROTON-DUNSTABLE REGIONAL SCHOOL DIST,PO BOX 729,GROTON,MA,01450,0729,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
SEVEN HILLS AT GROTON,22 HILLSIDE AVE,GROTON,MA,01450,1284,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75,,,
HARVARD PUBLIC SCHOOL DISTRICT,39 MASS AVE,HARVARD,MA,01451,1702,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,2,UNCODED,PUBLIC,1001 TO 2000,,,,
KEYSTONE CTR-GENESIS HEALTHCARE,44 KEYSTONE DR,LEOMINSTER,MA,01453,1904,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,81,,,
LIFE CARE CENTER OF LEOMINSTER,370 WEST ST,LEOMINSTER,MA,01453,2073,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,120,,,
HEALTH ALLIANCE HOSPITAL,60 HOSPITAL RD,LEOMINSTER,MA,01453,2205,25027,WORCESTER,1122,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,ARAMARK,UNCODED,>2000,,,,
COMM HEALTHLINK LIPTON RES TREATMENT CTR,45 SUMMER ST,LEOMINSTER,MA,01453,3228,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LEOMINSTER SENIOR CENTER,5 POND ST,LEOMINSTER,MA,01453,3530,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LITTLETON MIDDLE SCHOOL,55 RUSSELL ST,LITTLETON,MA,01460,1216,25017,MIDDLESEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
LITTLETON GROUP HOME,22 KING ST,LITTLETON,MA,01460,1519,25017,MIDDLESEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LIFE CARE CENTER OF NASHOBA VALLEY,191 FOSTER ST,LITTLETON,MA,01460,2018,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115,,,
NASHOBA CAMP,140 NASHOBA RD,LITTLETON,MA,01460,2224,25017,MIDDLESEX,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
EAGLE HOUSE SENIOR CENTER,25 MEMORIAL DR,LUNENBURG,MA,01462,1438,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LUNENBURG PUBLIC SCHOOL DISTRICT,1033 MASSACHUSETTS AVE,LUNENBURG,MA,01462,1432,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
NISSITISSIT MIDDLE SCHOOL,33 CHASE AVE,PEPPERELL,MA,01463,1150,25017,MIDDLESEX,1122,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
PEPPERELL COUNCIL ON AGING SENIOR CENTER,37 NASHUA RD,PEPPERELL,MA,01463,1415,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MASSACHUSETTS CORRECTIONAL INST-SHIRLEY,PO BOX 1218,SHIRLEY,MA,01464,1218,25017,MIDDLESEX,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
SOUZA-BARANOWSKI CORRECTIONAL CENTER,PO BOX 8000,SHIRLEY,MA,01464,8000,25017,MIDDLESEX,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
TOWNSEND COUNCIL ON AGING -SENIOR CENTER,222 MAIN ST,TOWNSEND,MA,01469,1051,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WINCHENDON PUBLIC SCHOOL DISTRICT,175 GROVE ST,WINCHENDON,MA,01475,1162,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
THE WINCHENDON SCHOOL RSDNTL TREATMENT,172 ASH ST,WINCHENDON,MA,01475,1709,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,
AUBURN PUBLIC SCHOOL DISTRICT,5 WEST ST,AUBURN,MA,01501,1301,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
LIFE CARE CENTER OF AUBURN,14 MASONIC CIR,AUBURN,MA,01501,1341,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,145,,,
AUBURN YOUTH AND FAMILY ERSVICES-AODA,21 PHEASANT CT,AUBURN,MA,01501,2457,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LORRAINE GLEICK NORDGREN SENIOR CENTER,4 GODDARD DR,AUBURN,MA,01501,2486,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
THE GODDARD SCHOOL,494 WASHINGTON ST,AUBURN,MA,01501,2709,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
AUBURN FAMILY INSTITUTE,6 SOUTH TER,AUBURN,MA,01501,2816,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BLACKSTONE NURSING HOME,8 BUTLER ST,BLACKSTONE,MA,01504,1541,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,30,,,
BLACKSTONE SENIOR CENTER,15 SAINT PAUL ST,BLACKSTONE,MA,01504,2276,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
THE OVERLOOK MASONIC HEALTH CENTER,PO BOX 1000,CHARLTON,MA,01507,1000,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138,,,
BAY PATH REG VOCATIONAL TECH HIGH SCHOOL,57 OLD MUGGETT HILL RD,CHARLTON,MA,01507,1331,25027,WORCESTER,1122,SECONDARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,,,,
CLINTON HOSPITAL UMASS MEMORIAL,201 HIGHLAND ST,CLINTON,MA,01510,1037,25027,WORCESTER,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,COMPASS,UNCODED,501 TO 1000,,,,
CLINTON SENIOR CITIZENS CENTER,200 HIGH ST,CLINTON,MA,01510,2556,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CLINTON PUBLIC SCHOOLS,150 SCHOOL ST,CLINTON,MA,01510,2915,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
HASSANAMESIT VLG EARLY LEARNING CENTER,PO BOX 566,GRAFTON,MA,01519,0566,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
GRAFTON SENIOR CENTER,30 PROVIDENCE RD,GRAFTON,MA,01519,1511,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GRAFTON PUBLIC SCHOOL DISTRICT,30 PROVIDENCE RD,GRAFTON,MA,01519,1511,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
HOLDEN SENIOR CENTER,1130 MAIN ST,HOLDEN,MA,01520,1273,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HOLDEN REHAB AND NURSING CENTER,32 MAYO DR,HOLDEN,MA,01520,1512,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,90,,,
WACHUSETT EXTENDED CARE FACILITY,56 BOYDEN RD,HOLDEN,MA,01520,2570,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,40,,,
WACHUSETT REGIONAL SCHOOL DISTRICT,1745 MAIN ST,JEFFERSON,MA,01522,1102,25027,WORCESTER,1122,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
DR F PERKINS SCHOOL RESIDENTIAL TRTMNT,971 MAIN ST,LANCASTER,MA,01523,2569,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,
LEICESTER SENIOR CENTER,40 WINSLOW AVE,LEICESTER,MA,01524,1113,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LEICESTER PUBLIC SCHOOLS,1078 MAIN ST,LEICESTER,MA,01524,1396,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
BECKER COLLEGE-LEICESTER,964 MAIN ST,LEICESTER,MA,01524,1310,25027,WORCESTER,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,251 TO 500,,,,
MILLBURY SENIOR CENTER,1 RIVER ST,MILLBURY,MA,01527,2605,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
RADIUS HEALTHCARE CENTER,29 MAIN ST,MILLBURY,MA,01527,2005,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,250,,,
MILLBURY PUBLIC SCHOOLS,12 MARTIN ST,MILLBURY,MA,01527,2014,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
MILLBURY HEALTH CARE CENTER,312 MILLBURY AVE,MILLBURY,MA,01527,3622,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,137,PREMIER,,
MILLVILLE SENIOR CENTER,PO BOX 703,MILLVILLE,MA,01529,0703,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SUPERVISORY UNION 3,44 BEARFOOT RD,NORTHBOROUGH,MA,01532,1559,25027,WORCESTER,1122,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
BEAUMONT AT NORTHBOROUGH,238 W MAIN ST,NORTHBOROUGH,MA,01532,1804,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,93,,,
COLEMAN HOUSE,112 W MAIN ST,NORTHBOROUGH,MA,01532,1824,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,44,PREMIER,,
NORTHBORO TOWN-FAMILY-YOUTH SVCS-AODA,63 MAIN ST,NORTHBOROUGH,MA,01532,1943,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTHBOROUGH SENIOR CENTER,1 CENTRE DR,NORTHBOROUGH,MA,01532,1989,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BEAUMONT REHAB SKILLED NURSING HOME,PO BOX 940,NORTHBRIDGE,MA,01534,0940,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,152,,,
VALLEY VIEW SCHOOL,PO BOX 338,NORTH BROOKFIELD,MA,01535,0338,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTH BROOKFIELD SENIOR CENTER,29 FOREST ST,NORTH BROOKFIELD,MA,01535,1938,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GRAFTON JOB CORPS RESIDENTIAL PROGRAM,100 PINE ST,NORTH GRAFTON,MA,01536,1857,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CLARA BARTON CAMP,PO BOX 356,NORTH OXFORD,MA,01537,0356,25027,WORCESTER,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
OXFORD SENIOR CENTER,323 MAIN ST,OXFORD,MA,01540,1727,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
OXFORD PUBLIC SCHOOLS,5 SIGOURNEY ST,OXFORD,MA,01540,1928,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
COOLIDGE ELEMENTARY SCHOOL,15 MAY ST,SHREWSBURY,MA,01545,4212,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
MULBERRY CHILD CARE AND PRESCHOOL,177 MAIN ST,SHREWSBURY,MA,01545,2101,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
SHREWSBURY CHILDRENS CENTER INC,138 N QUINSIGAMOND AVE,SHREWSBURY,MA,01545,2163,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SHERWOOD MIDDLE SCHOOL,30 SHERWOOD AVE,SHREWSBURY,MA,01545,2742,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
SHREWSBURY NURSING AND REHAB CENTER,40 JULIO DR,SHREWSBURY,MA,01545,3010,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,90,,,
FLORAL STREET SCHOOL,57 FLORAL ST,SHREWSBURY,MA,01545,3222,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
SHREWSBURY PUBLIC SCHOOLS,100 MAPLE AVE,SHREWSBURY,MA,01545,5347,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
G B WELLS HUMAN SERVICE CENTER-AODA SVCS,29 PINE ST,SOUTHBRIDGE,MA,01550,1823,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MARY E WELLS MIDDLE SCHOOL,82 MARCY ST,SOUTHBRIDGE,MA,01550,1882,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
YOU INC FAMILY SERVICES-SBSTNC ABUSE SVC,52 CHARLTON ST,SOUTHBRIDGE,MA,01550,1910,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
RADIUS HEALTH CARE,84 CHAPIN ST,SOUTHBRIDGE,MA,01550,2408,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,141,,,
