NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,market_segment2,units,EMPLOYEES,years_in_business,annual_sales
WARFIELD SHOP RITE INC,WARFIELD,KY,41267,0336,21159,MARTIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BILL'S GROCERY & GIFTS,WEST VAN LEAR,KY,41268,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
WEBB GROCERY,VAN LEAR,KY,41265,8422,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
STAGNARO DISTRIBUTING INC,ERLANGER,KY,41018,3588,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
STAMM'S CHOICE MEATS,ERLANGER,KY,41018,1428,21117,KENTON,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
TEWES POULTRY PRODUCTS,ERLANGER,KY,41018,1324,21117,KENTON,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
UNITED DAIRY FARMERS INC,ERLANGER,KY,41018,1324,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SHOP RITE SUPERMARKET,WARFIELD,KY,41267,,21159,MARTIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
COUNTY LINE LIQUOR,CRITTENDEN,KY,41030,9700,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MILLER'S GRIST MILL,CRITTENDEN,KY,41030,8580,21081,GRANT,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
SHELL,CYNTHIANA,KY,41031,1530,21097,HARRISON,,GAS STATIONS,501+ UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BP,CYNTHIANA,KY,41031,1541,21097,HARRISON,,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
BUENA VISTA GROCERY,CYNTHIANA,KY,41031,8413,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CYNTHIANA FIRST STOP,CYNTHIANA,KY,41031,2406,21097,HARRISON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
C & S CARRY OUT,CAMPTON,KY,41301,7905,21237,WOLFE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
CAMPTON DOUBLE KWIK COM DATA,CAMPTON,KY,41301,,21237,WOLFE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
STORE # 4 INC,NORTHBOROUGH,MA,01532,1203,25027,WORCESTER,1122,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
COUNTY LINE LIQUOR,CAMPTON,KY,41301,9568,21237,WOLFE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
EWALT'S GROCERY,CYNTHIANA,KY,41031,4308,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
FIELD'S 8-11 MARKET & VIDEO,CAMPTON,KY,41301,,21237,WOLFE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FIRST CLASS LLC,CAMPTON,KY,41301,9751,21237,WOLFE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
FARMERS MILL,CYNTHIANA,KY,41031,5997,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FOOD LION,CYNTHIANA,KY,41031,3801,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
IGA,CAMPTON,KY,41301,9750,21237,WOLFE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
MINI MART,CAMPTON,KY,41301,9751,21237,WOLFE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
ONE STOP LIQUORS,CAMPTON,KY,41301,9755,21237,WOLFE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
PARKWAY EXPRESS INC,CAMPTON,KY,41301,7070,21237,WOLFE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
PINE RIDGE ONE STOP MARKET,CAMPTON,KY,41301,,21237,WOLFE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
QUICK STOP,CAMPTON,KY,41301,8316,21237,WOLFE,,GAS STATIONS,251-500 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
KEN'S NEW MARKET,CYNTHIANA,KY,41031,1512,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
LEESBURG GROCERY,CYNTHIANA,KY,41031,8593,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
MAIN STREET MARKET,CYNTHIANA,KY,41031,,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
RED CARPET BEVERAGES,CYNTHIANA,KY,41031,9494,21097,HARRISON,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
SAVE-A-LOT,CYNTHIANA,KY,41031,6002,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SHADYNOOK STORE,CYNTHIANA,KY,41031,9291,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SWEET TREAT SHOP,CYNTHIANA,KY,41031,1208,21097,HARRISON,,CONFECTIONERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
TECHAU INC,CYNTHIANA,KY,41031,1512,21097,HARRISON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
YELLOW ROSE SPIRIT SHOPPE,CYNTHIANA,KY,41031,5982,21097,HARRISON,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ALLENS GROCERY,DE MOSSVILLE,KY,41033,9507,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BEAR TRACK GROCERY,BEATTYVILLE,KY,41311,8157,21129,LEE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
PERFECT TRIP,ROCKY HILL,CT,06067,1175,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
COUNTRY STORE,DRY RIDGE,KY,41035,7701,21081,GRANT,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
IGA,BEATTYVILLE,KY,41311,9249,21129,LEE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
KOOPS GENERAL STORE,BEATTYVILLE,KY,41311,,21129,LEE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,UNCODED
FOOD LION,DRY RIDGE,KY,41035,7235,21081,GRANT,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MAYS FOOD MART,BEATTYVILLE,KY,41311,8163,21129,LEE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
R & K QUICK MART,BEATTYVILLE,KY,41311,7484,21129,LEE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SAVE-A-LOT,BEATTYVILLE,KY,41311,7543,21129,LEE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SCOTT'S GROCERY,BEATTYVILLE,KY,41311,8117,21129,LEE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
JONESVILLE GROCERY,DRY RIDGE,KY,41035,9701,21081,GRANT,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
PENNINGTON FAMILY FARM,DRY RIDGE,KY,41035,8424,21081,GRANT,1642,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SAVE-A-LOT,DRY RIDGE,KY,41035,8122,21081,GRANT,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
BOONEVILLE SHOPWISE INC,BOONEVILLE,KY,41314,,21189,OWSLEY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
C & S COUNTRY STORE,BOONEVILLE,KY,41314,,21189,OWSLEY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
D & D GROCERY,BOONEVILLE,KY,41314,,21189,OWSLEY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
LEROSE MINI MART,BOONEVILLE,KY,41314,,21189,OWSLEY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SHOP WISE,BOONEVILLE,KY,41314,,21189,OWSLEY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
WOODS GROCERY,BOONEVILLE,KY,41314,,21189,OWSLEY,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
BLUE LICKS GROCERY,EWING,KY,41039,8605,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
COWAN STATION GROCERY & GAS,EWING,KY,41039,8683,21069,FLEMING,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HUGHES COUNTRY STORE,EWING,KY,41039,8728,21069,FLEMING,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
B B'S SUPERSTORE,FALMOUTH,KY,41040,1326,21191,PENDLETON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
SPIRIT HOUSE LIQUORS,FALMOUTH,KY,41040,1324,21191,PENDLETON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$1,000,001 - $2,500,000"
SUPERVALU,FALMOUTH,KY,41040,9280,21191,PENDLETON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BALD HILL GROCERIES,FLEMINGSBURG,KY,41041,8611,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HURST'S FOOD MARKET,FLEMINGSBURG,KY,41041,7336,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
JIM GIBSON GROCERY,FLEMINGSBURG,KY,41041,8809,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
JONES GROCERY,FLEMINGSBURG,KY,41041,7642,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$500,001 - $1,000,000"
KEN'S NEW MARKET,FLEMINGSBURG,KY,41041,1207,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
ROCKY HILL LIQUORS,ROCKY HILL,CT,06067,1200,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,FLEMINGSBURG,KY,41041,1203,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
TILTON STORE,FLEMINGSBURG,KY,41041,9805,21069,FLEMING,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
WAY SIDE MARKET,FLEMINGSBURG,KY,41041,9169,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
YODER'S COUNTRY MARKET,FLEMINGSBURG,KY,41041,8756,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
205 FOOD MART,HELECHAWA,KY,41332,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
C & C BEER & LIQUOR,HAZEL GREEN,KY,41332,,,,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
COX'S GROCERY,HAZEL GREEN,KY,41332,0286,21237,WOLFE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
THOMAS CALLAHAN'S STORE,ISLAND CITY,KY,41338,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
ABUELITOS DEDIOS,FLORENCE,KY,41042,4581,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
ACI LUBES CO,FLORENCE,KY,41042,2940,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
ALL AMERICAN CANDIES,FLORENCE,KY,41042,1443,21015,BOONE,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAM'S FOOD STORES,ROCKY HILL,CT,06067,2317,09003,HARTFORD,3280,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
C & J SUPERMART,JACKSON,KY,41339,7217,21025,BREATHITT,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SAM'S FOOD STORES,ROCKY HILL,CT,06067,3705,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
FIRST CLASS,JACKSON,KY,41339,9632,21025,BREATHITT,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FOOD FAIR GROCERY,JACKSON,KY,41339,9635,21025,BREATHITT,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HARVEY RICHARDSON GROCERY,JACKSON,KY,41339,7865,21025,BREATHITT,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
BRUCE'S GROCERY,FLORENCE,KY,41042,3228,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
CHRISTIAN'S WATER SERVICES,FLORENCE,KY,41042,3678,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
COLLETT'S CARRY OUT,FLORENCE,KY,41042,1804,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
STOP N GO,ROCKY HILL,CT,06067,2311,09003,HARTFORD,3280,CONVENIENCE STORES,101-250 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ROBERT'S GROCERY,JACKSON,KY,41339,9656,21025,BREATHITT,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
S C TURNER GROCERY,ALTRO,KY,41339,9009,21025,BREATHITT,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SAVE-A-LOT,JACKSON,KY,41339,9404,21025,BREATHITT,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SLONE'S SIGNATURE MARKET,JACKSON,KY,41339,7247,21025,BREATHITT,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SUBURBAN LIQUOR SHOP,ROCKY HILL,CT,06067,1131,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
COWBOY FOODSTORES,FLORENCE,KY,41042,4788,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CURB SERVICE INC,FLORENCE,KY,41042,9314,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
DAVE'S BEANERY,FLORENCE,KY,41042,4252,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
DIXIE MINI MART,FLORENCE,KY,41042,3311,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
ELK CREEK VINEYARDS,FLORENCE,KY,41042,1443,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FLICKS FOOD BURLINGTON,FLORENCE,KY,41042,,,,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SUPER STOP & SHOP,ROCKY HILL,CT,06067,1249,09003,HARTFORD,3280,CONVENIENCE STORES,251-500 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SHIRLEY HENSON'S GROCERY,LOST CREEK,KY,41348,9099,21025,BREATHITT,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$1,000,001 - $2,500,000"
HANA FISH,FLORENCE,KY,41042,6935,21015,BOONE,1642,FISH & SEAFOOD MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
HERBS & MORE,FLORENCE,KY,41042,2030,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
JET COFFEE,FLORENCE,KY,41042,9601,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KENTUCKY INTERNATIONAL GROCERY,FLORENCE,KY,41042,2614,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KROGER,FLORENCE,KY,41042,3275,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KROGER,FLORENCE,KY,41042,1405,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
LAGUADALUPANA MEXICAN STORE,FLORENCE,KY,41042,1553,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,2 TO 5 YEARS,"<=$500,000"
MANDERLAY LIQUOR,FLORENCE,KY,41042,2623,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
WALDBAUM'S,ROCKY HILL,CT,06067,1249,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),51-100 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
